step, L2error, MaxError, loss, elapsed_time, epoch_time, inference_time
0.000000000000000000e+00,3.068495035171508789e+00,8.850812911987304688e-01,5.802643203735351562e+01,2.717411518096923828e-01,2.717411518096923828e-01,1.142024993896484375e-04
1.000000000000000000e+00,1.762343406677246094e+00,6.671313643455505371e-01,1.225441589355468750e+02,3.401186466217041016e-01,6.837749481201171875e-02,9.393692016601562500e-05
2.000000000000000000e+00,1.505894660949707031e+00,5.814681649208068848e-01,3.892087554931640625e+01,4.086854457855224609e-01,6.856679916381835938e-02,9.441375732421875000e-05
3.000000000000000000e+00,1.988512635231018066e+00,6.955764889717102051e-01,2.812479019165039062e+01,4.770064353942871094e-01,6.832098960876464844e-02,8.416175842285156250e-05
4.000000000000000000e+00,1.816928505897521973e+00,6.277308464050292969e-01,4.967935943603515625e+01,5.438082218170166016e-01,6.680178642272949219e-02,8.320808410644531250e-05
5.000000000000000000e+00,1.274902343750000000e+00,5.528817176818847656e-01,4.113312911987304688e+01,6.104278564453125000e-01,6.661963462829589844e-02,7.653236389160156250e-05
6.000000000000000000e+00,9.405781030654907227e-01,4.234281182289123535e-01,2.007668685913085938e+01,6.770310401916503906e-01,6.660318374633789062e-02,9.155273437500000000e-05
7.000000000000000000e+00,1.148755431175231934e+00,3.544802963733673096e-01,1.096060752868652344e+01,7.432649135589599609e-01,6.623387336730957031e-02,7.748603820800781250e-05
8.000000000000000000e+00,1.385542869567871094e+00,3.842813968658447266e-01,1.696115684509277344e+01,8.095707893371582031e-01,6.630587577819824219e-02,7.867813110351562500e-05
9.000000000000000000e+00,1.340302467346191406e+00,3.630257546901702881e-01,2.428170394897460938e+01,8.762309551239013672e-01,6.666016578674316406e-02,8.678436279296875000e-05
1.000000000000000000e+01,1.104782462120056152e+00,3.395646214485168457e-01,2.258247756958007812e+01,9.425439834594726562e-01,6.631302833557128906e-02,7.891654968261718750e-05
1.100000000000000000e+01,8.439733386039733887e-01,3.060342669486999512e-01,1.485686206817626953e+01,1.009001970291137695e+00,6.645798683166503906e-02,8.320808410644531250e-05
1.200000000000000000e+01,8.616510629653930664e-01,3.859508037567138672e-01,9.042416572570800781e+00,1.075604677200317383e+00,6.660270690917968750e-02,8.440017700195312500e-05
1.300000000000000000e+01,1.025661110877990723e+00,4.167905747890472412e-01,9.165311813354492188e+00,1.142159461975097656e+00,6.655478477478027344e-02,7.987022399902343750e-05
1.400000000000000000e+01,1.108740687370300293e+00,4.375852644443511963e-01,1.291353893280029297e+01,1.208692550659179688e+00,6.653308868408203125e-02,9.155273437500000000e-05
1.500000000000000000e+01,1.053375005722045898e+00,3.548405468463897705e-01,1.520648002624511719e+01,1.275307178497314453e+00,6.661462783813476562e-02,8.058547973632812500e-05
1.600000000000000000e+01,8.986454010009765625e-01,3.569867014884948730e-01,1.363678359985351562e+01,1.341681480407714844e+00,6.637430191040039062e-02,7.653236389160156250e-05
1.700000000000000000e+01,7.694882750511169434e-01,3.114670217037200928e-01,9.945220947265625000e+00,1.408251047134399414e+00,6.656956672668457031e-02,8.511543273925781250e-05
1.800000000000000000e+01,7.694938182830810547e-01,2.839650511741638184e-01,7.347228050231933594e+00,1.474461317062377930e+00,6.621026992797851562e-02,7.939338684082031250e-05
